own_army_size,own_training_level,own_equipment_prestige,own_supplies,own_morale,own_fatigue,own_commander_skill,own_command_efficiency,own_technology_level,enemy_army_size,enemy_training_level,enemy_equipment_prestige,enemy_supplies,enemy_morale,enemy_fatigue,enemy_commander_skill,enemy_command_efficiency,enemy_technology_level,army_size_ratio (enemy/own),training_level_ratio (enemy/own),equipment_prestige_ratio (enemy/own),supplies_ratio (enemy/own),morale_ratio (enemy/own),fatigue_ratio (enemy/own),commander_skill_ratio (enemy/own),command_efficiency_ratio (enemy/own),technology_level_ratio (enemy/own),weather_condition,visibility,time_of_day,own_strategic_posture,enemy_strategic_posture,surprise_ambush_factor,home_territory_advantage,win_chance_%
3275,9.18,3.94,2204,7.96,5.95,2.54,3.11,8.59,1668,7.57,4.79,6210,5.6,9.2,6.37,1.23,8.29,0.509,0.825,1.216,2.818,0.704,1.546,2.508,0.395,0.965,Cloudy,Very Low,Night,Defend,Attack,Partial,Yes,46.6
3980,1.07,7.06,3423,6.22,7.02,3.32,2.19,4.68,4951,10.84,1.54,1170,7.13,4.89,3.96,10.05,0.53,1.244,10.131,0.218,0.342,1.146,0.697,1.193,4.589,0.113,Fog,Moderate,Midday,Defend,Attack,None,Yes,17.8
4833,7.62,5.78,3861,2.39,2.42,5.56,1.33,1.49,9265,0.94,10.01,718,11.25,4.5,7.68,4.95,1.54,1.917,0.123,1.732,0.186,4.707,1.86,1.381,3.722,1.034,Clear,Excellent,Morning,Attack,Defend,Partial,Yes,99.0
7959,2.37,4.47,2430,5.64,8.08,9.76,1.48,6.97,7197,4.96,7.55,2150,2.12,5.49,3.47,5.66,1.6,0.904,2.093,1.689,0.885,0.376,0.679,0.356,3.824,0.23,Clear,Moderate,Dawn,Attack,Defend,Partial,Yes,96.3
2397,9.21,2.34,1149,3.35,3.88,7.16,3.44,7.15,5116,2.05,7.31,1831,6.07,11.97,0.97,11.48,2.94,2.134,0.223,3.124,1.594,1.812,3.085,0.135,3.337,0.411,Rain,Very Low,Night,Defend,Defend,Full Ambush,Yes,86.0
5385,9.04,1.2,3889,3.27,6.58,3.52,3.51,3.05,13268,10.95,2.03,4875,0.6,2.37,9.63,8.68,6.19,2.464,1.211,1.692,1.254,0.183,0.36,2.736,2.473,2.03,Clear,Good,Dawn,Attack,Attack,None,No,5.1
6128,6.89,2.97,1670,8.47,2.03,4.44,4.44,4.7,7135,4.64,9.21,1702,5.52,11.07,11.95,8.59,7.22,1.164,0.673,3.101,1.019,0.652,5.453,2.691,1.935,1.536,Cloudy,Very Low,Morning,Defend,Defend,Partial,No,24.2
941,7.05,1.97,958,4.43,3.89,4.66,6.32,6.16,6935,2.95,2.84,4387,2.88,6.69,11.5,6.93,6.64,7.37,0.418,1.442,4.579,0.65,1.72,2.468,1.097,1.078,Clear,Moderate,Dawn,Attack,Attack,None,No,2.2
6272,1.05,8.07,3195,5.06,6.84,2.38,7.83,6.37,669,8.28,0.98,4609,3.11,8.08,10.62,11.47,4.74,0.107,7.886,0.121,1.443,0.615,1.181,4.462,1.465,0.744,Rain,Moderate,Midday,Defend,Attack,None,Yes,79.1
2120,9.86,2.01,543,8.59,3.47,2.45,2.78,5.6,9662,6.75,2.35,5649,3.16,1.51,9.1,11.87,6.58,4.558,0.685,1.169,10.403,0.368,0.435,3.714,4.27,1.175,Cloudy,Good,Midday,Defend,Attack,None,No,3.3
1118,8.9,7.52,4860,1.79,8.92,2.34,7.83,4.28,6998,9.89,8.56,4244,9.23,10.02,2.36,4.55,5.33,6.259,1.111,1.138,0.873,5.156,1.123,1.009,0.581,1.245,Cloudy,Excellent,Dusk,Attack,Attack,Full Ambush,No,6.0
9514,9.06,4.47,3199,6.35,6.95,5.69,2.25,1.62,2347,9.16,9.6,6451,6.34,1.53,2.29,7.29,8.48,0.247,1.011,2.148,2.017,0.998,0.22,0.402,3.24,5.235,Rain,Low,Afternoon,Defend,Attack,Partial,No,7.4
9674,6.93,1.66,4931,6.2,8.83,7.07,9.9,1.2,3807,11.71,3.34,4860,4.87,8.37,2.22,0.7,10.54,0.394,1.69,2.012,0.986,0.785,0.948,0.314,0.071,8.783,Clear,Very Low,Afternoon,Defend,Defend,Partial,Yes,95.0
8180,4.1,8.31,1761,4.83,4.56,6.32,3.57,5.14,3195,1.54,4.12,1735,0.51,7.82,5.79,9.38,6.83,0.391,0.376,0.496,0.985,0.106,1.715,0.916,2.627,1.329,Clear,Moderate,Dusk,Attack,Defend,None,No,99.0
3394,9.04,6.22,4859,8.47,1.31,9.8,8.54,2.83,2007,1.42,2.37,6582,10.11,11.87,5.97,10.57,7.8,0.591,0.157,0.381,1.355,1.194,9.061,0.609,1.238,2.756,Clear,Good,Afternoon,Attack,Defend,Partial,No,97.8
1428,3.62,3.12,813,9.49,6.19,2.13,2.71,9.45,6646,10.93,5.71,1370,0.5,10.58,7.14,6.96,9.55,4.654,3.019,1.83,1.685,0.053,1.709,3.352,2.568,1.011,Cloudy,Moderate,Afternoon,Defend,Defend,None,Yes,1.8
7000,6.06,9.05,299,5.19,4.05,9.88,9.56,6.76,5577,11.49,3.03,1343,9.79,4.92,3.11,2.46,9.46,0.797,1.896,0.335,4.492,1.886,1.215,0.315,0.257,1.399,Clear,Moderate,Night,Attack,Attack,Partial,No,70.7
4681,1.9,1.41,262,5.11,5.03,5.2,8.44,6.27,5530,5.18,11.82,5209,8.86,10.92,0.96,5.24,9.98,1.181,2.726,8.383,19.882,1.734,2.171,0.185,0.621,1.592,Clear,Good,Midday,Attack,Defend,None,No,5.4
1659,9.3,2.82,2378,5.52,7.13,2.97,4.23,4.66,3923,5.74,9.32,3657,1.89,1.4,1.66,7.8,3.72,2.365,0.617,3.305,1.538,0.342,0.196,0.559,1.844,0.798,Fog,Moderate,Afternoon,Defend,Defend,None,No,1.0
5204,2.27,7.77,507,7.51,7.31,9.49,4.79,3.97,6659,4.74,7.37,1162,7.63,3.65,1.3,10.52,3.11,1.28,2.088,0.949,2.292,1.016,0.499,0.137,2.196,0.783,Fog,Moderate,Midday,Defend,Defend,None,Yes,20.3
827,3.02,7.38,2610,7.01,1.25,5.22,1.03,2.62,8303,9.44,8.8,842,0.63,11.2,9.62,7.75,9.6,10.04,3.126,1.192,0.323,0.09,8.96,1.843,7.524,3.664,Clear,Moderate,Afternoon,Attack,Defend,None,No,3.8
9139,6.02,3.6,1705,3.01,7.92,4.13,3.26,1.54,9250,9.36,2.42,1227,3.07,6.61,2.05,8.86,9.05,1.012,1.555,0.672,0.72,1.02,0.835,0.496,2.718,5.877,Fog,Moderate,Dawn,Defend,Defend,Partial,Yes,25.6
2958,7.88,1.56,1745,1.58,5.44,2.92,3.6,6.71,3453,3.03,9.05,6489,3.27,3.99,9.13,6.34,2.46,1.167,0.385,5.801,3.719,2.07,0.733,3.127,1.761,0.367,Cloudy,Excellent,Dusk,Defend,Attack,Partial,No,1.3
6794,6.57,8.72,3214,9.54,6.01,3.41,5.07,8.01,10972,4.91,4.48,4126,11.78,2.64,1.73,6.54,2.33,1.615,0.747,0.514,1.284,1.235,0.439,0.507,1.29,0.291,Fog,Good,Dusk,Defend,Defend,Partial,Yes,82.2
3461,3.09,3.82,899,3.35,3.68,9.81,2.25,8.72,600,2.94,5.9,5118,7.06,5.2,6.2,2.9,1.66,0.173,0.951,1.545,5.693,2.107,1.413,0.632,1.289,0.19,Clear,Moderate,Night,Defend,Attack,None,No,69.5
5441,1.01,2.76,3856,6.75,4.79,3.74,5.31,7.52,11307,1.04,10.68,940,0.6,11.17,3.81,5.65,3.7,2.078,1.03,3.87,0.244,0.089,2.332,1.019,1.064,0.492,Cloudy,Very Low,Afternoon,Attack,Attack,Full Ambush,Yes,98.4
5694,7.81,5.64,2952,8.46,7.39,9.8,7.02,9.07,4388,1.15,11.36,2686,1.98,11.21,7.99,5.82,8.65,0.771,0.147,2.014,0.91,0.234,1.517,0.815,0.829,0.954,Clear,Moderate,Morning,Defend,Defend,Partial,Yes,99.0
2256,9.87,9.19,4583,3.7,7.99,3.97,4.34,9.85,5676,2.19,9.34,3921,2.71,7.62,2.18,1.14,10.48,2.516,0.222,1.016,0.856,0.732,0.954,0.549,0.263,1.064,Storm,Very Low,Dusk,Defend,Defend,None,No,58.1
9711,8.29,1.39,1888,6.72,4.48,3.08,3.09,9.66,8795,0.84,9.33,3593,9.95,1.52,7.27,10.12,11.96,0.906,0.101,6.712,1.903,1.481,0.339,2.36,3.275,1.238,Clear,Moderate,Night,Attack,Attack,None,No,8.5
7864,5.14,7.89,4915,1.97,7.22,2.65,5.93,6.33,9235,5.37,9.06,2639,8.31,5.43,7.07,7.66,10.31,1.174,1.045,1.148,0.537,4.218,0.752,2.668,1.292,1.629,Cloudy,Excellent,Dusk,Defend,Defend,Partial,No,10.7
9425,9.13,6.15,2922,9.73,3.32,4.71,1.26,3.02,6433,1.24,7.7,716,6.06,6.92,5.13,1.26,11.79,0.683,0.136,1.252,0.245,0.623,2.084,1.089,1.0,3.904,Rain,Very Low,Night,Attack,Defend,Partial,Yes,99.0
9001,4.69,4.83,4870,1.52,8.49,3.13,4.07,1.96,14081,10.25,2.75,4796,9.82,9.02,6.05,10.99,2.19,1.564,2.186,0.569,0.985,6.461,1.062,1.933,2.7,1.117,Clear,Moderate,Dawn,Attack,Defend,None,Yes,4.8
6180,5.72,7.7,233,4.94,6.49,7.27,5.75,9.95,12903,8.69,7.27,4206,5.95,10.99,2.19,7.27,4.71,2.088,1.519,0.944,18.052,1.204,1.693,0.301,1.264,0.473,Clear,Very Low,Night,Defend,Defend,Partial,Yes,9.4
9258,5.29,9.69,3667,5.83,7.98,3.16,4.02,3.78,3531,9.51,1.15,2972,9.88,11.95,9.82,5.1,2.84,0.381,1.798,0.119,0.81,1.695,1.497,3.108,1.269,0.751,Cloudy,Moderate,Dusk,Defend,Defend,Partial,No,97.3
1341,5.03,3.06,4101,8.11,5.29,8.52,4.11,1.31,8916,7.6,0.85,6493,3.02,5.23,7.45,2.43,3.79,6.649,1.511,0.278,1.583,0.372,0.989,0.874,0.591,2.893,Cloudy,Moderate,Dusk,Attack,Defend,None,Yes,14.0
2362,7.98,2.29,361,2.09,3.06,8.51,8.63,4.52,10871,8.13,10.14,5304,11.19,10.67,1.87,4.02,1.76,4.602,1.019,4.428,14.693,5.354,3.487,0.22,0.466,0.389,Fog,Good,Midday,Attack,Attack,Partial,Yes,3.4
930,5.74,9.22,2937,4.97,4.86,3.57,9.41,7.73,3411,1.8,6.72,2586,11.51,10.02,11.05,5.35,10.42,3.668,0.314,0.729,0.88,2.316,2.062,3.095,0.569,1.348,Clear,Good,Afternoon,Defend,Defend,Partial,No,39.1
3591,3.85,7.02,4030,3.7,4.43,7.78,8.45,9.02,473,1.17,0.69,417,7.84,7.21,7.66,7.41,1.16,0.132,0.304,0.098,0.103,2.119,1.628,0.985,0.877,0.129,Clear,Good,Afternoon,Attack,Attack,Partial,Yes,98.6
4192,3.32,4.94,2849,3.81,3.99,8.72,1.89,5.3,14639,11.88,3.64,5613,7.79,7.04,2.48,11.11,5.36,3.492,3.578,0.737,1.97,2.045,1.764,0.284,5.878,1.011,Rain,Good,Afternoon,Attack,Defend,None,Yes,4.0
3078,1.34,6.16,413,8.01,2.91,6.31,3.61,3.65,14384,4.79,8.35,3109,7.0,11.79,3.08,0.7,1.86,4.673,3.575,1.356,7.528,0.874,4.052,0.488,0.194,0.51,Rain,Moderate,Dawn,Defend,Defend,None,No,1.0
8373,6.25,7.71,3498,1.05,7.83,4.3,7.4,8.01,4941,1.09,11.3,3332,5.48,4.82,2.85,4.4,5.7,0.59,0.174,1.466,0.953,5.219,0.616,0.663,0.595,0.712,Clear,Low,Morning,Defend,Attack,None,No,78.7
3889,3.07,7.96,397,7.74,1.78,4.97,9.77,5.53,3739,2.34,10.21,4132,2.56,5.52,3.09,3.62,3.52,0.961,0.762,1.283,10.408,0.331,3.101,0.622,0.371,0.637,Clear,Very Low,Morning,Attack,Defend,None,No,73.8
3169,2.33,9.28,4106,8.29,8.99,8.08,3.18,1.77,2488,10.55,5.62,4640,2.72,6.28,2.91,9.87,8.22,0.785,4.528,0.606,1.13,0.328,0.699,0.36,3.104,4.644,Cloudy,Good,Dusk,Attack,Defend,None,Yes,45.2
5656,6.88,4.84,311,9.11,2.58,3.64,9.08,8.99,10370,2.87,3.78,4280,8.0,8.74,9.08,5.59,10.88,1.833,0.417,0.781,13.762,0.878,3.388,2.495,0.616,1.21,Rain,Excellent,Midday,Attack,Attack,Partial,Yes,25.8
1839,7.13,3.64,773,6.64,9.82,4.01,7.65,6.9,11378,5.87,4.07,2005,5.87,6.53,7.3,8.26,1.63,6.187,0.823,1.118,2.594,0.884,0.665,1.82,1.08,0.236,Fog,Moderate,Morning,Defend,Defend,None,Yes,1.1
8121,7.77,6.76,1448,4.0,9.9,2.45,9.85,1.33,6422,8.18,8.94,1286,3.1,7.4,3.18,8.16,0.82,0.791,1.053,1.322,0.888,0.775,0.747,1.298,0.828,0.617,Cloudy,Excellent,Morning,Attack,Attack,Partial,No,87.6
1208,5.53,4.74,3203,4.85,4.59,4.59,1.84,1.08,3794,11.61,9.75,245,1.56,4.9,11.22,0.98,5.87,3.141,2.099,2.057,0.076,0.322,1.068,2.444,0.533,5.435,Clear,Good,Dusk,Attack,Defend,None,No,42.3
9875,9.05,6.35,4884,9.73,9.89,1.78,4.55,1.79,6841,0.66,4.7,141,11.53,1.22,0.63,4.02,1.26,0.693,0.073,0.74,0.029,1.185,0.123,0.354,0.884,0.704,Clear,Good,Afternoon,Defend,Defend,None,No,99.0
7836,9.43,4.78,677,8.93,8.82,3.89,5.3,8.4,7842,6.11,7.66,6228,8.42,7.49,8.38,10.92,2.1,1.001,0.648,1.603,9.199,0.943,0.849,2.154,2.06,0.25,Clear,Good,Afternoon,Attack,Defend,None,No,19.5
2388,8.27,2.38,799,5.17,1.74,4.36,7.05,5.33,8242,11.95,9.07,6962,2.69,7.63,6.75,8.95,8.14,3.451,1.445,3.811,8.713,0.52,4.385,1.548,1.27,1.527,Clear,Excellent,Dusk,Attack,Attack,Partial,Yes,3.4
552,6.72,5.22,1907,9.49,9.53,3.3,6.89,4.02,6762,1.9,10.23,2536,9.12,4.04,6.61,11.02,9.39,12.25,0.283,1.96,1.33,0.961,0.424,2.003,1.599,2.336,Storm,Low,Night,Attack,Defend,None,No,1.0
8247,3.73,7.22,4197,8.41,1.38,1.91,9.16,3.24,255,1.92,7.87,1531,2.45,7.62,6.84,7.32,5.69,0.031,0.515,1.09,0.365,0.291,5.522,3.581,0.799,1.756,Clear,Moderate,Dusk,Attack,Attack,None,Yes,98.8
7215,9.85,8.19,2389,9.11,2.64,5.7,8.55,5.56,7182,1.5,10.44,2826,7.28,7.61,6.1,8.14,7.82,0.995,0.152,1.275,1.183,0.799,2.883,1.07,0.952,1.406,Fog,Good,Night,Defend,Attack,None,No,68.2
7426,3.47,5.44,1676,7.15,6.26,8.79,1.5,1.75,5340,6.34,3.74,768,7.02,4.64,11.38,11.27,10.98,0.719,1.827,0.688,0.458,0.982,0.741,1.295,7.513,6.274,Fog,Low,Dusk,Attack,Attack,None,Yes,5.2
7827,2.82,2.49,2850,8.72,1.73,4.02,5.38,6.55,8437,4.51,8.54,4427,1.75,8.9,7.62,9.87,5.97,1.078,1.599,3.43,1.553,0.201,5.145,1.896,1.835,0.911,Rain,Excellent,Dusk,Defend,Attack,Full Ambush,Yes,52.1
1203,4.98,4.73,1377,9.03,2.46,3.13,4.66,4.42,1227,8.74,5.12,1614,8.13,7.28,5.78,4.07,11.88,1.02,1.755,1.082,1.172,0.9,2.959,1.847,0.873,2.688,Clear,Moderate,Morning,Defend,Defend,None,No,17.7
3905,1.51,8.08,2066,1.83,9.58,3.57,9.97,8.73,13212,7.07,11.18,2256,6.91,1.67,10.39,7.42,0.87,3.383,4.682,1.384,1.092,3.776,0.174,2.91,0.744,0.1,Clear,Good,Dawn,Attack,Attack,None,Yes,1.0
1601,9.81,4.72,1730,9.69,9.95,8.76,4.85,7.79,13157,7.18,3.02,5995,9.72,5.9,10.73,1.05,2.51,8.218,0.732,0.64,3.465,1.003,0.593,1.225,0.216,0.322,Clear,Low,Dawn,Attack,Attack,None,No,4.0
8699,6.3,7.27,4040,4.0,8.18,5.75,7.14,1.17,8549,6.38,9.55,4005,10.94,10.6,9.41,10.84,3.96,0.983,1.013,1.314,0.991,2.735,1.296,1.637,1.518,3.385,Clear,Very Low,Dusk,Defend,Attack,Partial,No,1.9
6421,6.01,5.56,4629,4.96,5.64,2.18,3.56,2.5,11109,11.91,11.21,987,8.63,9.3,7.1,10.64,8.09,1.73,1.982,2.016,0.213,1.74,1.649,3.257,2.989,3.236,Rain,Moderate,Afternoon,Defend,Defend,None,Yes,1.0
3644,6.9,3.17,3822,8.13,9.1,7.38,6.53,5.27,6681,6.7,8.35,714,3.99,2.13,0.99,3.55,1.58,1.833,0.971,2.634,0.187,0.491,0.234,0.134,0.544,0.3,Cloudy,Excellent,Afternoon,Attack,Defend,Full Ambush,Yes,99.0
1104,5.47,8.17,2252,6.98,2.01,2.39,2.86,6.93,8936,1.33,9.57,4597,4.26,11.45,10.97,3.27,7.46,8.094,0.243,1.171,2.041,0.61,5.697,4.59,1.143,1.076,Fog,Good,Afternoon,Attack,Defend,None,Yes,12.5
3454,1.29,1.76,2571,9.04,9.49,1.54,6.43,7.44,9342,4.21,10.69,1180,4.09,3.39,9.9,8.33,6.04,2.705,3.264,6.074,0.459,0.452,0.357,6.429,1.295,0.812,Cloudy,Moderate,Dusk,Attack,Defend,Partial,No,4.8
3589,6.51,5.72,713,4.61,4.16,3.3,8.81,8.35,5438,9.48,4.06,1418,10.43,4.49,11.24,0.51,1.89,1.515,1.456,0.71,1.989,2.262,1.079,3.406,0.058,0.226,Rain,Very Low,Dusk,Attack,Attack,Partial,Yes,56.6
7431,7.45,2.88,3760,4.36,8.75,2.51,1.17,1.44,14421,7.73,1.93,4232,6.06,2.87,2.05,5.2,8.41,1.941,1.038,0.67,1.126,1.39,0.328,0.817,4.444,5.84,Rain,Low,Dusk,Defend,Defend,Partial,Yes,1.5
6557,4.75,1.6,3023,1.29,7.02,6.44,5.54,1.17,9119,8.37,11.27,6379,11.52,8.88,11.55,3.94,5.07,1.391,1.762,7.044,2.11,8.93,1.265,1.793,0.711,4.333,Clear,Low,Afternoon,Attack,Attack,Partial,No,1.7
8929,7.82,5.53,4522,5.16,9.64,5.36,9.84,6.4,14860,11.1,0.93,3813,8.03,6.92,11.61,1.21,10.44,1.664,1.419,0.168,0.843,1.556,0.718,2.166,0.123,1.631,Clear,Low,Morning,Attack,Defend,None,No,78.3
4986,3.04,5.5,1083,7.52,8.78,7.52,2.43,7.51,6599,5.6,6.07,3305,7.43,7.08,5.71,3.97,1.13,1.324,1.842,1.104,3.052,0.988,0.806,0.759,1.634,0.15,Clear,Excellent,Dusk,Defend,Attack,Partial,Yes,34.0
1636,2.99,7.36,3823,3.71,8.99,5.6,2.65,8.08,678,0.72,4.21,6018,10.84,8.46,1.36,4.35,2.25,0.414,0.241,0.572,1.574,2.922,0.941,0.243,1.642,0.278,Cloudy,Good,Morning,Attack,Defend,None,Yes,99.0
7276,2.45,7.7,3455,5.16,6.69,4.77,5.24,2.4,4676,11.89,6.88,2090,7.28,7.27,7.65,9.96,6.68,0.643,4.853,0.894,0.605,1.411,1.087,1.604,1.901,2.783,Cloudy,Excellent,Dusk,Attack,Defend,Partial,No,34.6
7727,4.35,7.55,1403,2.97,8.5,5.74,8.84,9.72,9832,5.73,11.88,290,9.96,4.42,7.7,9.87,10.87,1.272,1.317,1.574,0.207,3.354,0.52,1.341,1.117,1.118,Fog,Low,Morning,Attack,Attack,None,No,7.4
5832,8.62,4.69,3370,7.96,7.81,4.91,6.06,3.06,13673,1.62,1.03,3926,6.24,11.14,6.6,10.49,10.79,2.344,0.188,0.22,1.165,0.784,1.426,1.344,1.731,3.526,Clear,Very Low,Afternoon,Attack,Attack,None,Yes,72.1
7824,8.45,6.69,4629,1.54,2.45,1.33,5.58,3.25,9304,6.81,9.35,967,7.38,7.14,4.27,1.91,1.08,1.189,0.806,1.398,0.209,4.792,2.914,3.211,0.342,0.332,Storm,Good,Afternoon,Defend,Attack,Partial,No,64.0
5191,4.45,6.19,4600,7.35,6.84,7.13,1.78,2.39,7182,7.29,0.78,471,3.48,8.89,1.33,2.74,2.89,1.384,1.638,0.126,0.102,0.473,1.3,0.187,1.539,1.209,Rain,Moderate,Dusk,Defend,Attack,Partial,Yes,99.0
5466,6.3,4.79,3626,4.41,2.33,9.66,9.66,1.39,1395,6.99,3.5,724,10.58,2.27,6.97,2.36,9.43,0.255,1.11,0.731,0.2,2.399,0.974,0.722,0.244,6.784,Fog,Very Low,Dusk,Defend,Attack,Partial,Yes,92.4
4562,7.49,6.37,336,1.37,8.83,4.8,4.12,8.29,2342,11.6,8.61,817,3.7,4.66,4.11,7.53,4.03,0.513,1.549,1.352,2.432,2.701,0.528,0.856,1.828,0.486,Clear,Good,Dusk,Defend,Defend,None,No,15.7
